A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
4.487744500113969,2.0146244403951643,3.3912787913649223,3.81761370614074,3.314362708077362,1.7172555301298842,2.5999227179069284,3.3486793079265524,3.059458556887742,1.946825416801592,3.050718905909845,3.209026719479024,3.85903544085794,3.0284974306990415,3.367845294212451
3.458621711438217,2.3213835689750493,3.6751303234032267,2.6214093142426007,3.4819867440925716,2.233428712546234,2.7732517829591905,2.903920268307792,4.094201294666754,2.7146724327135763,3.6862545214016817,1.7145712846983594,3.088998267408745,3.109858519687506,3.2022489335301287
3.9964760735704967,2.488261783622911,2.654954378034655,2.3997808069376854,2.8106798531558805,3.6524929898803635,4.306049534009209,2.9497114443049615,2.7237007204158608,2.6261808043511747,3.0027570909868575,3.5453331977150024,1.5667282373981368,3.1061856862072488,3.1430694105036885
4.227732155740746,3.1154051934862994,2.915918974824436,2.7822353267743782,2.5827215617615455,2.446224474845858,3.415001034790195,3.208834183971807,3.4810044711320676,2.1723795834536475,1.8225911214393802,2.0459233011993305,2.6970354073075944,3.1211950867366425,3.4523650175429275
4.0168772548747675,3.301017343321881,2.425335577623772,2.334697824630442,2.9918488506397325,3.5601523067471903,2.1396879838762173,3.1723400094711796,3.8329976418916134,3.9373821535672864,2.5978251621738018,3.0473608718518146,2.158124156800051,3.482794781227522,3.6440813458810224
3.3007942552120917,4.148485363921905,2.608375728881054,3.352762713986997,2.130921710363649,2.3968863901542723,3.412355986034574,2.65233293893397,2.931805898905083,2.796769005333017,3.1925523680031334,3.982709130172344,2.94815017830549,2.9147115384640174,2.994219657323129
3.372421525502867,2.968677842958331,3.0892013043784585,3.0873476404925664,3.1206688632336856,2.613219393911762,3.0618550607523582,3.7200545677997576,2.5118411158457197,2.888228907197872,3.6324801221050893,2.008221685797558,3.225841765673502,3.1659358234882737,3.074799059456021
2.5777502813121864,3.1305720917383915,2.746807944642341,3.4370816104097126,3.8822873987437365,2.7896853361318517,3.277740928271034,2.9384787731443005,3.0748452285581895,2.725827095445401,3.834561594061804,2.7016722451882993,3.604245445538913,3.545712618323265,3.2495189869690044
3.304741065872198,2.5720561963041257,3.3960632003265276,3.9851785884754802,2.618998778357175,3.1376138412568877,4.361228514845449,2.6509137809815306,3.092062538991075,2.792016575979168,2.2072988431293017,2.884602823247319,3.9918180532810266,4.499189668743719,3.650094064962302
3.8005936297593923,3.2404984203276492,2.7015695115385765,2.6584575186868435,3.1007081548792392,2.98725133745061,3.3402429109971434,2.053131909559135,3.9931669602154636,3.5067170975485826,3.2387998051615474,2.252210393420244,3.2211147288102446,3.356203658898643,2.2825832114760907
1.8761187815317395,3.0098299885571933,2.7235252383733854,3.6551306488613236,3.089066109409528,3.0279513853753923,4.791695896553799,1.12586650315965,2.9840001912745677,3.351173435697864,3.0230042261409955,2.7811665690928673,3.3254332367044466,2.99519637668981,2.781326720076119
3.027042912533316,3.50304245589402,2.5727413021363126,3.5138621810833675,3.165707497684468,2.619021593179169,3.6084710219323,2.6105325683242846,3.027073510323981,2.119455265233018,3.412049957699002,2.1480995907075275,1.923751706898197,2.4910565428436215,3.1942648204088755
